id,brand,line,format,life_stage,breed_size,primary_proteins,grain_free,ingredients,allergen_tags,protein_pct,fat_pct,ash_pct,fiber_pct,moisture_pct,calcium_pct,phosphorus_pct,omega_6_fatty_acids,omega_3_fatty_acids,DHA,EPA,kcal_per_cup,kcal_per_kg,kibble_size,tags,size_kg,price,price_per_kg,retailer,image,source_url,updated_at
Orijen-Large-Breed-Adult,Orijen,Large Breed Adult Recipe,dry,adult,large,"Chicken,Turkey,Salmon,Herring",TRUE,"fresh chicken, fresh chicken giblets, liver, heart, gizzard, raw turkey, raw salmon, raw whole herring, dehydrated chicken, dehydrated pollock, dehydrated sardine, dehydrated turkey, dehydrated herring, whole red lentils, whole peas, lentil fibre, raw turkey liver, fresh eggs, whole green lentils, whole chickpeas, whole pinto beans, whole navy beans, dried apple fibre, whitefish oil, chicken fat, dehydrated chicken liver, dried kelp, fresh whole pumpkin, fresh whole butternut squash, fresh whole carrots, fresh whole apples, fresh whole pears, fresh whole zucchini, dried chicory root, fresh kale, fresh spinach, fresh turnip greens, fresh beet greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips","chicken,turkey,fish,egg",38,15,8,6,12,1.5,1.1,2,0.8,0.3,0.2,482,3710,large,"high-protein,adult,large,dry",11.34,121.99,10.76,PetValu.ca,https://www.orijenpetfoods.com/dw/image/v2/BFDW_PRD/on/demandware.static/-/Sites-orijen-na-master-catalog/en_CA/dw2d98491e/ORIJEN%20Dog%20Domestic%202022/Large%20Breed%202024/ORIJEN%20Dog%20Large%20Breed%20Adult%2011.4kg%20Front%20Canada.png?sw=450,https://www.petvalu.ca/product/orijen-large-breed-adult-dog-food/FCM07541,2025-08-10
Orijen-Original-Adult,Orijen,Original Adult Recipe,dry,adult,all,"Chicken,Turkey,Salmon,Herring",TRUE,"fresh chicken, raw turkey, fresh chicken giblets, liver, heart, raw whole herring, raw whole hake, fresh eggs, raw turkey liver, dehydrated chicken, dehydrated turkey, dehydrated mackerel, dehydrated sardine, dehydrated herring, whole red lentils, whole chickpeas, whole peas, chicken fat, whole green lentils, whole pinto beans, whole navy beans, lentil fibre, pollock oil, pea starch, dried kelp, fresh whole pumpkin, fresh whole butternut squash, fresh whole zucchini, fresh whole carrots, fresh whole apples, fresh whole pears, dried chicory root, fresh kale, fresh spinach, fresh beet greens, fresh turnip greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips","chicken,turkey,fish,egg",38,18,9,5,12,1.4,1.1,3,1,0.3,0.2,463,3860,regular,"high-protein,adult,dry,regular",11.34,110.99,9.79,PetValu.ca,https://www.orijenpetfoods.com/dw/image/v2/BFDW_PRD/on/demandware.static/-/Sites-orijen-na-master-catalog/en_CA/dw917760c9/ORIJEN%20Dog%20Domestic%202022/ORI%20Original%20Dog%20Carousel%201000x10002.png?sw=450,https://www.petvalu.ca/product/orijen-original-dog-food/FCM04364,2025-08-10
Orijen-Six-Fish-Adult,Orijen,Six Fish Adult Recipe,dry,adult,all,"Pilchard,Mackerel,Hake,Flounder,Rockfish,Sole",TRUE,"raw whole pilchard, raw whole mackerel, raw whole hake, raw flounder, raw whole rockfish, raw whole sole, dehydrated mackerel, dehydrated herring, dehydrated pollock, dehydrated sardine, dehydrated blue whiting, herring oil, whole red lentils, whole peas, whole chickpeas, whole green lentils, lentil fibre, whole pinto beans, pea starch, sunflower oil, dried kelp, fresh whole pumpkin, fresh whole butternut squash, fresh whole zucchini, fresh whole carrots, fresh whole apples, fresh whole pears, dried chicory root, fresh kale, fresh spinach, fresh beet greens, fresh turnip greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips","fish,legumes,sunflower",38,18,8.5,5,12,1.5,1.1,2.1,2.1,0.7,0.5,466,3880,regular,"high-protein,adult,dry,regular",11.34,126.99,11.2,PetValu.ca,https://www.orijenpetfoods.com/dw/image/v2/BFDW_PRD/on/demandware.static/-/Sites-orijen-na-master-catalog/en_CA/dw343a7b14/ORIJEN%20Dog%20Domestic%202022/ORI%20Six%20Fish%20Dog%20Carousel%201000x10002.png?sw=450,https://www.petvalu.ca/product/orijen-six-fish-dog-food/FCM04365,2025-08-18
Orijen-Regional-Red-Adult,Orijen,Regional Red Adult Recipe,dry,adult,all,"Beef,Lamb,Pork,Salmon",TRUE,"raw beef, raw lamb, raw pork, raw beef liver, raw salmon, raw pork liver, fresh eggs, dehydrated lamb, dehydrated beef, dehydrated herring, whole red lentils, whole pinto beans, dehydrated pork, dehydrated sardine, whole green lentils, whole chickpeas, whole navy beans, lentil fibre, beef fat, whitefish oil, raw lamb liver, raw beef kidney, raw beef tripe, raw lamb kidney, raw lamb tripe, dried kelp, fresh whole pumpkin, fresh whole butternut squash, fresh whole zucchini, fresh whole carrots, fresh whole apples, fresh whole pears, dried chicory root, fresh kale, fresh spinach, fresh beet greens, fresh turnip greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips","beef,lamb,pork,fish,egg,legumes",38,18,9,5,12,1.8,1.2,1.5,1,0.3,0.35,483,3860,regular,"high-protein,adult,dry,regular",11.34,126.99,11.2,PetValu.ca,https://www.orijenpetfoods.com/dw/image/v2/BFDW_PRD/on/demandware.static/-/Sites-orijen-na-master-catalog/en_CA/dw1be55a79/ORIJEN%20Dog%20Domestic%202022/Regional%20Red%202024/ORIJEN%20Dog%20Regional%20Red%20Updated%206kg%20Front%20Right%20Canada%20English.png?sw=450,https://www.petvalu.ca/product/orijen-regional-red-dog-food/FCM04366,2025-08-18
Orijen-Tundra-Adult,Orijen,Tundra Adult Recipe,dry,adult,all,"Lamb,Venison,Duck,Arctic Char,Pilchard",TRUE,"raw lamb, raw venison, raw duck, raw arctic char, raw whole pilchard, raw pork, raw duck liver, raw lamb liver, fresh eggs, dehydrated lamb, dehydrated whitefish, dehydrated blue whiting, dehydrated mutton, dehydrated herring, dehydrated mackerel, raw goat, raw pork liver, whole green lentils, whole chickpeas, whole peas, raw steelhead trout, pork fat, whole red lentils, whole pinto beans, lentil fibre, pollock oil, whole navy beans, pea starch, raw lamb kidney, raw lamb tripe, dried kelp, fresh whole pumpkin, fresh whole butternut squash, fresh whole zucchini, fresh whole carrots, fresh whole apples, fresh whole pears, dried chicory root, fresh kale, fresh spinach, fresh beet greens, fresh turnip greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips","lamb,venison,duck,fish,pork,goat,egg,legumes",40,18,9,5,12,1.8,1.3,2.5,1,0.35,0.2,463,3860,regular,"high-protein,adult,dry,regular",11.34,166.99,14.73,PetValu.ca,https://www.orijenpetfoods.com/dw/image/v2/BFDW_PRD/on/demandware.static/-/Sites-orijen-na-master-catalog/en_CA/dwbd9be1c3/Tundra%20Dog/Tundra%20(1).png?sw=450,https://www.petvalu.ca/product/orijen-tundra-dog-food/FCM01724,2025-08-18
Orijen-Fit-Trim-Adult,Orijen,Fit & Trim Adult Recipe,dry,adult,all,"Chicken,Herring,Turkey,Hake",TRUE,"fresh chicken, raw whole herring, raw turkey, fresh chicken giblets, liver, heart, raw whole hake, raw whole mackerel, fresh eggs, dehydrated chicken, dehydrated mackerel, dehydrated sardine, dehydrated herring, dehydrated turkey, dehydrated whitefish, lentil fibre, whole pinto beans, whole navy beans, whole chickpeas, whole red lentils, whole green lentils, whole peas, pea starch, raw turkey liver, chicken fat, apple fibre, algae, dried kelp, fresh whole pumpkin, fresh whole butternut squash, fresh whole zucchini, fresh whole carrots, fresh whole apples, fresh whole pears, dried chicory root, fresh kale, fresh spinach, fresh beet greens, fresh turnip greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips","chicken,turkey,fish,egg,legumes",40,13,8,8,12,1.4,1.1,2.2,0.9,0.25,0.15,425,3530,regular,"low-fat,weight-management,adult,dry,regular",11.34,115.99,10.23,PetValu.ca,https://www.orijenpetfoods.com/dw/image/v2/BFDW_PRD/on/demandware.static/-/Sites-orijen-na-master-catalog/en_CA/dwa2919e6f/ORIJEN%20Dog%20Domestic%202022/ORI%20Fit_Trim%20Dog%20Carousel%201000x10002.png?sw=450,https://www.petvalu.ca/product/orijen-fit-trim-dog-food/FCM04367,2025-08-18
Orijen-Senior,Orijen,Senior Recipe,dry,senior,all,"Chicken,Turkey,Herring,Hake",TRUE,"fresh chicken, raw turkey, fresh chicken giblets, liver, heart, raw whole herring, raw whole hake, fresh eggs, raw turkey liver, dehydrated chicken, dehydrated turkey, dehydrated mackerel, dehydrated sardine, dehydrated herring, whole red lentils, whole green lentils, whole peas, lentil fibre, whole chickpeas, whole pinto beans, pea starch, pollock oil, chicken fat, whole navy beans, dried kelp, fresh whole pumpkin, fresh whole butternut squash, fresh whole zucchini, fresh whole carrots, fresh whole apples, fresh whole pears, dried chicory root, fresh kale, fresh spinach, fresh beet greens, fresh turnip greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips","chicken,turkey,fish,egg,legumes",38,15,8,6,12,1.3,1.1,0.9,2.3,0.3,0.2,445,3710,regular,"senior,dry,regular",11.34,110.99,9.79,PetValu.ca,https://www.orijenpetfoods.com/dw/image/v2/BFDW_PRD/on/demandware.static/-/Sites-orijen-na-master-catalog/en_CA/dw2a6909b3/ORIJEN%20Dog%20Domestic%202022/ORI%20Senior%20Dog%20Carousel%201000x10002.png?sw=450,https://www.petvalu.ca/product/orijen-senior-dog-food/FCM04368,2025-08-18
Orijen-Puppy,Orijen,Puppy Recipe,dry,puppy,all,"Chicken,Turkey,Herring,Hake",TRUE,"fresh chicken, raw turkey, fresh chicken giblets, liver, heart, raw whole herring, raw whole hake, fresh eggs, dehydrated chicken, dehydrated turkey, dehydrated mackerel, dehydrated sardine, dehydrated herring, chicken fat, whole red lentils, whole peas, whole green lentils, whole chickpeas, lentil fibre, whole pinto beans, whole navy beans, raw turkey liver, pollock oil, pea starch, dried kelp, fresh whole pumpkin, fresh whole butternut squash, fresh whole zucchini, fresh whole carrots, fresh whole apples, fresh whole pears, dried chicory root, fresh kale, fresh spinach, fresh beet greens, fresh turnip greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips","chicken,turkey,fish,egg,legumes",38,20,8,5,12,1.4,1.1,1.1,3,0.35,0.25,520,4000,regular,"puppy,dry,regular",11.34,115.99,10.23,PetValu.ca,https://www.orijenpetfoods.com/dw/image/v2/BFDW_PRD/on/demandware.static/-/Sites-orijen-na-master-catalog/en_CA/dw6e56c3d7/ORIJEN%20Dog%20Domestic%202022/ORI%20Puppy%20Dog%20Carousel%201000x10002.png?sw=450,https://www.petvalu.ca/product/orijen-puppy-dog-food/FCM04362,2025-08-18
Orijen-Puppy-Large,Orijen,Puppy Large Recipe,dry,puppy,large,"Chicken,Turkey,Herring,Hake",TRUE,"fresh chicken, raw turkey, fresh chicken giblets, liver, heart, raw whole hake, raw whole herring, fresh eggs, raw turkey liver, dehydrated chicken, dehydrated mackerel, dehydrated sardine, dehydrated herring, whole red lentils, whole green lentils, whole peas, lentil fibre, whole chickpeas, whole pinto beans, pea starch, dehydrated turkey, chicken fat, whole navy beans, pollock oil, dried kelp, fresh whole pumpkin, fresh whole butternut squash, fresh whole zucchini, fresh whole carrots, fresh whole apples, fresh whole pears, dried chicory root, fresh kale, fresh spinach, fresh beet greens, fresh turnip greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips","chicken,turkey,fish,egg,legumes",38,16,8,6,12,1.3,1.1,2.8,0.9,0.3,0.2,451,3760,large,"puppy,large,dry",11.34,115.99,10.23,PetValu.ca,https://www.orijenpetfoods.com/dw/image/v2/BFDW_PRD/on/demandware.static/-/Sites-orijen-na-master-catalog/en_CA/dw13af2aa9/ORIJEN%20Dog%20Domestic%202022/ORI%20Puppy%20Large%20Dog%20Carousel%201000x10002.png?sw=450,https://www.petvalu.ca/product/orijen-puppy-large-dog-food/FCM04363,2025-08-18
Orijen-Small-Breed,Orijen,Small Breed Recipe,dry,adult,small,"Chicken,Turkey,Quail,Hake,Herring",TRUE,"raw turkey, fresh chicken, raw quail, raw whole hake, raw whole herring, raw turkey liver, fresh chicken giblets, liver, heart, fresh eggs, dehydrated turkey, dehydrated chicken, dehydrated herring, dehydrated chicken liver, dehydrated egg, whole red lentils, whole pinto beans, whole green lentils, chicken fat, whole navy beans, whole chickpeas, lentil fibre, whole peas, pollock oil, pea starch, dried kelp, new zealand green mussels, fresh whole butternut squash, fresh whole pumpkin, salt, fresh whole apples, fresh whole carrots, fresh whole pears, fresh whole zucchini, dried chicory root, fresh beet greens, fresh kale, fresh spinach, fresh turnip greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips","turkey,chicken,quail,fish,egg,legumes,shellfish",39,18,9,4,12,1.4,1.1,2.8,0.5,0.2,0.2,468,3900,small,"small,adult,dry",4.54,70.99,15.64,PetValu.ca,https://www.orijenpetfoods.com/dw/image/v2/BFDW_PRD/on/demandware.static/-/Sites-orijen-na-master-catalog/en_CA/dw33c2aabd/ORIJEN%20Dog%20Domestic%202022/ORI%20Small%20Breed%20Dog%20Carousel%201000x10002.png?sw=450,https://www.petvalu.ca/product/orijen-small-breed-dog-food/FCM04827,2025-08-18
Acana-Classics-Prairie-Poultry,Acana,Classics,dry,all,all,"Chicken,Turkey",FALSE,"Fresh chicken (21%), chicken meal (20%), pearled barley, whole peas, oat groats, chicken fat (8%), whole oats, chickpea fibre, fish oil (1%), potassium chloride, dried kelp, salt, dried chicory root, fresh whole pumpkin, fresh whole butternut squash, fresh whole carrots, fresh whole apples, fresh whole pears, fresh whole zucchini, fresh kale, fresh spinach, fresh turnip greens, fresh beet greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips","chicken,egg,fish,grain",27,16,7.5,5,12,1.1,0.9,2.6,0.5,0.1,0.1,413,3443,regular,"grain-inclusive,classics,all-life-stages",14.47,94.99,6.56,PetValu.ca,https://www.acana.com/dw/image/v2/BFDW_PRD/on/demandware.static/-/Sites-acana-na-master-catalog/en_CA/dw8393a86d/ACA Classics/ACANA Classics Prairie Poultry Recipe Front 9.7kg Canada.png,https://www.petvalu.ca/product/acana-classics-prairie-poultry-recipe-dog-food/FCM04342,2026-03-03
Acana-Classics-Wild-Coast,Acana,Classics,dry,all,all,"Salmon,Herring",FALSE,"Raw salmon (22%), herring meal (19%), pearled barley, whole peas, oat groats, pork fat (8%), whole oats, chickpea fibre, fish oil (1%), calcium carbonate, potassium chloride, dried kelp, salt, dried chicory root, fresh whole pumpkin, fresh whole butternut squash, fresh whole carrots, fresh whole apples, fresh whole pears, fresh whole zucchini, fresh kale, fresh spinach, fresh turnip greens, fresh beet greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips","fish,pork,grain",27,16,7.5,5,12,1.2,0.9,2.6,1.1,0.4,0.3,413,3443,regular,"grain-inclusive,classics,all-life-stages",14.47,115.99,8.02,PetValu.ca,https://www.acana.com/dw/image/v2/BFDW_PRD/on/demandware.static/-/Sites-acana-na-master-catalog/en_CA/dwf1bf0b7b/ACA%20Classics/ACANA%20Classics%20Wild%20Coast%20Recipe%20Front%209.7kg%20Canada.png,https://www.petvalu.ca/product/acana-classics-wild-coast-recipe-dog-food/FCM04343,2026-03-03
Acana-Classics-Red-Meat,Acana,Classics,dry,all,all,"Beef,Lamb,Pork",FALSE,"Raw beef (16%), lamb meal (15%), pearled barley, whole peas, oat groats, pork fat (8%), pork meal (8%), whole oats, chickpea fibre, raw pork (2%), fish oil (1%), potassium chloride, dried kelp, salt, dried chicory root, fresh whole pumpkin, fresh whole butternut squash, fresh whole carrots, fresh whole apples, fresh whole pears, fresh whole zucchini, fresh kale, fresh spinach, fresh turnip greens, fresh beet greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips","beef,lamb,pork,fish,grain",27,16,8,5,12,1.6,1.1,2.2,0.3,0.05,0.05,411,3425,regular,"grain-inclusive,classics,all-life-stages,red-meat",14.47,105.99,7.32,PetValu.ca,https://www.acana.com/dw/image/v2/BFDW_PRD/on/demandware.static/-/Sites-acana-na-master-catalog/en_CA/dwc054353c/ACA%20Classics/ACANA%20Classics%20Red%20Meat%20Recipe%20Front%209.7kg%20Canada.png,https://www.petvalu.ca/product/acana-classics-red-meat-recipe-dog-food/FCM04344,2026-03-03
